data,detalhes,tipo,5_dia_util,transacoes_negocio
2015-03-25,Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação do Convênio IPVA;,Normal,,4.019.715
2015-03-26,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação do Convênio IPVA;,Atenção,,3.718.620
2015-03-27,Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação do Convênio IPVA;,Normal,,3.723.154
2015-03-28,Utilização de Caixa Eletrônico;,Normal,,918.612
2015-03-29,Utilização de Caixa Eletrônico;,Normal,,471.803
2015-03-30,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,4.527.276
2015-03-31,Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Processo de Migração/Incorporação;,Atenção,,4.443.621
2015-04-01,Processo de Migração/Incorporação; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,4.728.991
2015-04-02,Congelamento do ambiente; Pagamento de benefícios INSS; Arrecadação de Convênios ,Congelamento,,4.346.742
2015-04-03,Congelamento do ambiente;Aumento de transações CDO e ATM,Congelamento,,628.903
2015-04-04,Congelamento do ambiente;Utilização de Caixa Eletrônico; Aumento de transações CDO e ATM,Congelamento,,858.495
2015-04-05,Congelamento do ambiente;Utilização de Caixa Eletrônico; Aumento de transações CDO e ATM,Congelamento,,493.796
2015-04-06,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios; Previsão de recorde movimento compesação (TTN + TTS),Congelamento,,6.202.264
2015-04-07,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios ;,Atenção,1,5.400.221
2015-04-08,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.863.470
2015-04-09,Dia Produção Sisbr; Arrecadação de Convênios;,Normal,,4.495.974
2015-04-10,Arrecadação de Convênios; Arrecadação de GPS;,Normal,,5.249.555
2015-04-11,Utilização de Caixa Eletrônico ,Normal,,1.033.606
2015-04-12,Utilização de Caixa Eletrônico ,Normal,,520.113
2015-04-13,Movimento Segunda-Feira ,Alto Risco,,5.285.421
2015-04-14,Dia Produção Sisbr; Movimento Batch – Compe Inferior ,Atenção,,4.461.626
2015-04-15,Movimento Batch – Empréstimo 0001,Normal,,4.785.726
2015-04-16,Dia Produção Sisbr; Movimento Batch – Empréstimo 0001,Normal,,4.075.019
2015-04-17,,Normal,,4.367.784
2015-04-18,Utilização de Caixa Eletrônico ,Normal,,971.936
2015-04-19,Utilização de Caixa Eletrônico ,Normal,,452.191
2015-04-20,Movimento Segunda-Feira; Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Dia de maior movimento do Sicoobnet Empresarial,Alto Risco,,5.148.204
